"week_start","average_temp_max","average_temp_min","average_temp_mean","total_rain"
"2023-09-17",17.9,10.7,14.0,14.8
"2023-09-24",15.2,10.1,12.5,19.9
"2023-10-01",16.0,9.9,12.8,1.5
"2023-10-08",16.4,10.4,13.2,29.4
"2023-10-15",14.5,11.0,12.8,135.9
"2023-10-22",9.2,3.5,6.2,7.7
"2023-10-29",12.0,4.4,7.7,65.5
"2023-11-05",10.4,6.9,8.7,70.3
"2023-11-12",9.0,1.8,4.9,1.8
"2023-11-19",7.9,1.7,4.6,14.5
"2023-11-26",5.6,0.8,3.0,40.0
"2023-12-03",7.9,4.3,6.1,96.9
"2023-12-10",7.8,3.5,5.7,9.1
"2023-12-17",9.1,5.6,7.3,25.9
"2023-12-24",10.1,6.3,8.3,14.2
"2023-12-31",7.7,3.7,5.9,45.3
"2024-01-07",1.8,-3.7,-1.1,31.2
"2024-01-14",0.8,-4.7,-2.0,28.3
"2024-01-21",8.5,6.1,7.2,95.2
"2024-01-28",12.6,9.2,10.7,27.3
"2024-02-04",7.2,1.5,4.2,0.0
"2024-02-11",8.5,1.3,4.5,30.7
"2024-02-18",9.2,4.0,6.6,19.6
"2024-02-25",6.5,1.0,3.7,66.6
"2024-03-03",5.9,0.8,3.2,10.3
"2024-03-10",10.6,3.5,6.8,11.1
"2024-03-17",12.6,5.3,8.9,3.3
"2024-03-24",10.9,4.9,7.5,20.0
"2024-03-31",12.6,4.1,8.4,3.7
"2024-04-07",11.4,5.2,8.1,17.2
"2024-04-14",15.5,3.9,9.6,1.2
"2024-04-21",13.5,6.9,9.9,14.6
"2024-04-28",15.1,6.0,10.5,3.9
"2024-05-05",18.2,8.0,13.1,1.9
"2024-05-12",18.2,10.0,13.8,11.5
"2024-05-19",14.8,8.4,11.5,27.9
"2024-05-26",15.4,8.7,11.9,21.9
"2024-06-02",18.7,9.6,14.1,35.3
"2024-06-09",19.3,10.4,14.7,4.8
"2024-06-16",21.0,11.7,16.2,2.5
"2024-06-23",19.7,12.5,15.9,5.1
"2024-06-30",23.7,13.7,18.5,0.0
"2024-07-07",27.0,15.9,21.4,0.0
"2024-07-14",27.1,16.1,21.3,0.0
"2024-07-21",22.9,13.5,18.2,0.0
"2024-07-28",23.5,15.4,19.2,17.0
"2024-08-04",26.5,15.5,20.9,0.0
"2024-08-11",23.3,15.3,18.9,0.0
"2024-08-18",19.5,14.1,16.6,31.8
"2024-08-25",20.5,12.2,16.0,12.7
"2024-09-01",24.3,14.3,18.8,0.0
"2024-09-08",19.6,13.3,15.9,28.5
"2024-09-15",17.3,10.9,14.0,0.0
"2024-09-22",16.8,11.7,14.2,53.3
"2024-09-29",14.2,8.3,11.1,11.2
"2024-10-06",15.6,9.1,12.1,15.9
"2024-10-13",13.7,8.8,11.1,195.3
"2024-10-20",12.0,6.2,8.9,44.6
"2024-10-27",10.0,7.4,8.5,48.6
"2024-11-03",11.2,6.7,8.6,38.1
"2024-11-10",9.6,6.2,7.9,102.9
"2024-11-17",8.5,4.3,6.3,31.5
"2024-11-24",5.9,2.6,4.2,3.7
"2024-12-01",7.9,2.0,4.6,38.7
"2024-12-08",7.2,2.8,5.0,24.1
"2024-12-15",8.7,5.1,6.8,63.0
"2024-12-22",8.7,5.4,7.2,69.1
"2024-12-29",5.9,2.4,4.4,30.9
"2025-01-05",7.2,2.1,4.7,12.2
"2025-01-12",6.1,-0.1,2.6,0.4
"2025-01-19",3.9,-2.5,0.3,0.0
"2025-01-26",5.3,-1.6,1.3,32.8
"2025-02-02",0.8,-3.7,-1.7,1.7
"2025-02-09",2.9,-3.6,-0.7,3.7
"2025-02-16",8.2,4.9,6.4,67.0
"2025-02-23",12.2,5.3,8.3,50.0
"2025-03-02",9.6,4.0,6.5,43.7
"2025-03-09",7.9,3.3,5.5,30.5
"2025-03-16",8.9,3.3,5.9,17.2
"2025-03-23",12.4,7.4,9.5,64.4
"2025-03-30",12.6,4.9,8.7,2.6
"2025-04-06",11.9,6.6,9.2,30.7
"2025-04-13",15.3,5.5,10.5,0.0
"2025-04-20",16.5,6.5,11.2,0.0
"2025-04-27",16.4,8.2,11.9,9.6
"2025-05-04",17.7,7.7,13.0,1.1
